EPREUVE,FORMAT_EPREUVE,RANG,NOM_PRENOM,ANNEE_NAISSANCE,NATIONALITE,GENRE,STRUCTURE,TEMPS,DATE_FR,POINTS_FFN,POINTS_FINA
50 Nage Libre Dames,Finale A,1,MOLUH Mary-Ambre,2005,FRA,F,U.S CRETEIL NATATION,00:25.87,21/01/2022,1240,766
50 Nage Libre Dames,Finale A,2,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:26.68,21/01/2022,1181,698
50 Nage Libre Dames,Finale A,2,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:26.68,21/01/2022,1181,698
50 Nage Libre Dames,Finale A,3,DONVAL Eléane,2004,FRA,F,ANGERS NATATION,00:27.34,21/01/2022,1133,649
50 Nage Libre Dames,Finale A,4,AIGOUY Léa,2004,FRA,F,CANETON CLUB DE BEAUMONT,00:28.19,21/01/2022,1074,592
50 Nage Libre Dames,Finale A,5,DUROT Lea,2003,FRA,F,CN COURRIÈRES,00:28.96,21/01/2022,1021,546
50 Nage Libre Dames,Finale A,6,DENIS SMETT Valentine,2006,FRA,F,STADE DE REIMS NATATION,00:28.99,21/01/2022,1019,544
50 Nage Libre Dames,Finale A,7,LANGUE Camille,2005,FRA,F,SC ABBEVILLOIS NATATION TRIATHLON,00:29.02,21/01/2022,1017,543
50 Nage Libre Dames,Finale A,8,PORTEMAN Heloïse,2003,FRA,F,P.V GRANDVILLIERS NATATION,00:29.61,21/01/2022,978,511
50 Nage Libre Dames,1/2 Finale (1),3,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:27.32,21/01/2022,1135,650
50 Nage Libre Dames,1/2 Finale (1),3,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:27.32,21/01/2022,1135,650
50 Nage Libre Dames,1/2 Finale (1),4,AIGOUY Léa,2004,FRA,F,CANETON CLUB DE BEAUMONT,00:28.25,21/01/2022,1070,588
50 Nage Libre Dames,1/2 Finale (1),8,PORTEMAN Heloïse,2003,FRA,F,P.V GRANDVILLIERS NATATION,00:28.98,21/01/2022,1020,545
50 Nage Libre Dames,1/2 Finale (1),9,MUYLLE Cloé,2005,FRA,F,MARCQ NATATION,00:29.29,21/01/2022,999,528
50 Nage Libre Dames,1/2 Finale (1),10,ETIENNE Alice,2007,FRA,F,ANGERS NATATION,00:29.31,21/01/2022,998,527
50 Nage Libre Dames,1/2 Finale (1),11,HOSSI BURNIER Noémie,2006,FRA,F,AAS SARCELLES NATATION 95,00:29.37,21/01/2022,994,523
50 Nage Libre Dames,1/2 Finale (1),14,JARILLOT Elodie,2006,FRA,F,CANETON CLUB DE BEAUMONT,00:29.92,21/01/2022,957,495
50 Nage Libre Dames,1/2 Finale (1),15,RENAULT Lilou,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:30.37,21/01/2022,928,473
50 Nage Libre Dames,1/2 Finale (2),1,MOLUH Mary-Ambre,2005,FRA,F,U.S CRETEIL NATATION,00:26.67,21/01/2022,1182,699
50 Nage Libre Dames,1/2 Finale (2),2,DONVAL Eléane,2004,FRA,F,ANGERS NATATION,00:27.22,21/01/2022,1142,658
50 Nage Libre Dames,1/2 Finale (2),5,LANGUE Camille,2005,FRA,F,SC ABBEVILLOIS NATATION TRIATHLON,00:28.31,21/01/2022,1065,584
50 Nage Libre Dames,1/2 Finale (2),6,DUROT Lea,2003,FRA,F,CN COURRIÈRES,00:28.51,21/01/2022,1052,572
50 Nage Libre Dames,1/2 Finale (2),7,DENIS SMETT Valentine,2006,FRA,F,STADE DE REIMS NATATION,00:28.97,21/01/2022,1020,545
50 Nage Libre Dames,1/2 Finale (2),12,MORICELLY Clara,2006,FRA,F,C.N OZOIR-LA-FERRIERE,00:29.70,21/01/2022,972,506
50 Nage Libre Dames,1/2 Finale (2),13,FORE Valentine,2007,FRA,F,AMIENS METROPOLE NAT.,00:29.81,21/01/2022,965,501
50 Nage Libre Dames,1/2 Finale (2),16,LEVEAUX Enola,2002,FRA,F,BEAUVAISIS AQUATIC CLUB,00:30.63,21/01/2022,911,461
50 Nage Libre Dames,Séries,1,MOLUH Mary-Ambre,2005,FRA,F,U.S CRETEIL NATATION,00:26.37,21/01/2022,1204,723
50 Nage Libre Dames,Séries,2,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:27.21,21/01/2022,1143,658
50 Nage Libre Dames,Séries,2,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:27.21,21/01/2022,1143,658
50 Nage Libre Dames,Séries,3,DONVAL Eléane,2004,FRA,F,ANGERS NATATION,00:27.36,21/01/2022,1132,648
50 Nage Libre Dames,Séries,4,AIGOUY Léa,2004,FRA,F,CANETON CLUB DE BEAUMONT,00:27.79,21/01/2022,1102,618
50 Nage Libre Dames,Séries,5,LANGUE Camille,2005,FRA,F,SC ABBEVILLOIS NATATION TRIATHLON,00:28.53,21/01/2022,1050,571
50 Nage Libre Dames,Séries,6,PORTEMAN Heloïse,2003,FRA,F,P.V GRANDVILLIERS NATATION,00:28.72,21/01/2022,1037,560
50 Nage Libre Dames,Séries,7,DUROT Lea,2003,FRA,F,CN COURRIÈRES,00:29.04,21/01/2022,1016,542
50 Nage Libre Dames,Séries,8,BONNET Eva,2000,BEL,F,DENAIN NAT. PORTE DU HAINAUT,00:29.26,21/01/2022,1001,529
50 Nage Libre Dames,Séries,9,ETIENNE Alice,2007,FRA,F,ANGERS NATATION,00:29.40,21/01/2022,992,522
50 Nage Libre Dames,Séries,10,DENIS SMETT Valentine,2006,FRA,F,STADE DE REIMS NATATION,00:29.42,21/01/2022,990,521
50 Nage Libre Dames,Séries,11,HOSSI BURNIER Noémie,2006,FRA,F,AAS SARCELLES NATATION 95,00:29.62,21/01/2022,977,510
50 Nage Libre Dames,Séries,12,FORE Valentine,2007,FRA,F,AMIENS METROPOLE NAT.,00:29.63,21/01/2022,976,510
50 Nage Libre Dames,Séries,13,JARILLOT Elodie,2006,FRA,F,CANETON CLUB DE BEAUMONT,00:29.76,21/01/2022,968,503
50 Nage Libre Dames,Séries,14,MORICELLY Clara,2006,FRA,F,C.N OZOIR-LA-FERRIERE,00:29.79,21/01/2022,966,502
50 Nage Libre Dames,Séries,15,MUYLLE Cloé,2005,FRA,F,MARCQ NATATION,00:29.93,21/01/2022,957,495
50 Nage Libre Dames,Séries,16,LEVEAUX Enola,2002,FRA,F,BEAUVAISIS AQUATIC CLUB,00:30.08,21/01/2022,947,487
50 Nage Libre Dames,Séries,17,GREGOIRE Marion,2003,BEL,F,DENAIN NAT. PORTE DU HAINAUT,00:30.23,21/01/2022,937,480
50 Nage Libre Dames,Séries,18,RENAULT Lilou,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:30.27,21/01/2022,935,478
50 Nage Libre Dames,Séries,19,COLINCHARD Sarah,2008,FRA,F,SOISSONS NATATION SPORTIVE,00:31.63,21/01/2022,849,419
100 Nage Libre Dames,Finale A,1,TEREBO Emma,1998,FRA,F,AMIENS METROPOLE NAT.,00:56.01,23/01/2022,1252,787
100 Nage Libre Dames,Finale A,1,BIENFAIT Victorine,2007,FRA,F,RACING CLUB ARRAS,01:03.26,23/01/2022,999,126
100 Nage Libre Dames,Finale A,2,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:57.54,23/01/2022,1196,726
100 Nage Libre Dames,Finale A,2,TROMPETTE Melora,2005,FRA,F,C.N OZOIR-LA-FERRIERE,00:57.54,23/01/2022,1196,726
100 Nage Libre Dames,Finale A,2,HOSSI BURNIER Noémie,2006,FRA,F,AAS SARCELLES NATATION 95,01:03.47,23/01/2022,992,125
100 Nage Libre Dames,Finale A,3,PRUVOT Mathilde,2005,FRA,F,AMIENS METROPOLE NAT.,00:58.13,23/01/2022,1175,704
100 Nage Libre Dames,Finale A,3,DENIS SMETT Valentine,2006,FRA,F,STADE DE REIMS NATATION,01:03.58,23/01/2022,988,124
100 Nage Libre Dames,Finale A,4,BURGY Manon,2005,FRA,F,AMIENS METROPOLE NAT.,00:58.36,23/01/2022,1167,696
100 Nage Libre Dames,Finale A,4,DUSSART Priscillia,2005,FRA,F,PELICAN CLUB DE VALENCIENNES,01:04.02,23/01/2022,974,123
100 Nage Libre Dames,Finale A,4,BURGY Manon,2005,FRA,F,AMIENS METROPOLE NAT.,00:58.36,23/01/2022,1167,696
100 Nage Libre Dames,Finale A,5,AIGOUY Léa,2004,FRA,F,CANETON CLUB DE BEAUMONT,01:02.00,23/01/2022,1041,130
100 Nage Libre Dames,Finale A,5,RENAULT Lilou,2005,FRA,F,C.N OZOIR-LA-FERRIERE,01:04.26,23/01/2022,966,122
